#,categorie,phrase_fr,bambara_attendu,bambara_obtenu,statut,french_pos_tree,bambara_pos_tree,google_translate,nllb_translate,camembert_kuma,camembert_google,camembert_nllb
184,intrans_action_passe_pos,j'ai travaillé,n yé báara kɛ,,,,,N ye baara kɛ,ne ye baara kɛ,,,
185,intrans_action_passe_neg,je n'ai pas travaillé,n ma báara kɛ,,,,,N ma baara kɛ,ne ma baara kɛ,,,
186,intrans_action_hab_neg,je ne travaillais pas,n tùn tɛ báara la,,,,,N tun tɛ baara la,ne tun tɛ baara kɛ,,,
187,intrans_action_futur,je travaillerai,n bɛ na báara kɛ,,,,,Ne bɛna baara kɛ,ne bɛ baara kɛ,,,
188,temporal_subordinator,quand il vient,tuma min a bɛ nà,,,,,ni a nana,ni a nana,,,
189,reported_comparative,les bambara disent que la raison de la venue de quelqu'un est plus importante que soi-même,bambaraw bɛ fɔ ko mɔ̀gɔ dɔ jɔ̀kun ka kólogirinman ka tɛmɛ yɛrɛ kan,,,,,bamanankan b' a fɔ ko mɔgɔ dɔ nali kun ka bon ka tɛmɛ u yɛrɛ kan,"bambaraw b'a fɔ ko sababu min bɛ mɔgɔ na, o nafa ka bon ni yɛrɛ ta ye",,,
190,optatif,que tu viennes,i ka nà,,,,,ko i ka na,ko i bɛ na,,,
191,optatif,que Moussa mange,Moussa ka dún,,,,,ko Moussa bɛ dumuni kɛ,Musa bɛ min dun,,,
192,optatif_coi,que Dieu t'aide,Ala ka i dɛmɛ,,,,,Ala ka aw dɛmɛ,Ala k'i dɛmɛ,,,
193,venir_de_propn,Je viens de Bamako,n bɔra Bamako,,,,,N bɛ bɔ Bamakɔ,Ne bɛ bɔ Bamako,,,
194,venir_de_noun,Je viens de l'école,n bɔra kàlankɛyɔrɔ la,,,,,N bɛ bɔ lakɔli la,Ne nana ka bɔ lakɔli la.,,,
195,venir_de_verbe,Je viens de manger,n bɔra ka dumuni kɛ,,,,,N ye dumuni kɛ dɔrɔn,Ne ye dumuni kɛ sisan.,,,
196,venir_de_verbe,Il vient de partir,a bɔra ka táa,,,,,A bɔra yen dɔrɔn,A bɔra sisan dɔrɔn.,,,
197,conj_avec_locatif,elle alla au village et demande des infos,a yé wá dùgu la wa a yé ɛnfo ɲɛ́juguya,,,,,a taara dugu la ka kunnafoni ɲini,a taara dugu kɔnɔ ka kunnafoni ɲini,,,
198,verb_serial_conj,elle alla trouver et demande des informations,a táara ɲɛ́sɔ̀rɔ wa a yé kùnnafoniw ɲɛ́juguya,,,,,a taara ɲinini kɛ ka kunnafoni ɲini,a taara a yɔrɔ ka kunnafoni ɲini,,,
199,comitative_motion,il est venu avec moi,a nàra ni n yé,,,,,a nana ni ne ye,a nana ni ne ye,,,
200,comitative_travail,elle travaille avec lui,a bɛ báara ni a yé,,,,,a bɛ baara kɛ n'a ye,a bɛ baara kɛ ni a ye,,,
201,comitative_adj,Il est venu avec une dentition complète,a nàra ni dákolon dafaleninman yé,,,,,A nana ni ɲinw dafalen ye,A nana ni furakɛli dafalen ye,,,
202,temporal_np_depuis,Depuis quelques mois,kabini sélidenninkalow dɔw,,,,,Kalo damadɔ kɔnɔ,Kalo damanin tɛmɛnnen,,,
203,temporal_np_depuis,depuis quelques jours,kabini tilew dɔw,,,,,tile damadɔ kɔnɔ,tile damadɔ ye nin ye,,,
204,temporal_np_depuis,depuis quelques années,kabini sanw dɔw,,,,,san damadɔ kɔnɔ,san damadɔ ye nin ye,,,
205,ccomp_interrogative,sais-tu que je suis un enfant ?,i bɛ dɔ́n ko n yé dén yé wà ?,,,,,aw b'a dɔn ko ne ye denmisɛn ye wa?,I y'a dɔn ko ne ye denmisɛn ye wa?,,,
206,ccomp_savoir,je sais que tu es mon ami,n bɛ dɔ́n ko i yé n terikɛ yé,,,,,Ne b'a dɔn ko i ye ne teri ye,ne y'a dɔn ko i ye ne teri ye,,,
207,ccomp_savoir_locatif,ils savent que nous sommes ici,ùw bɛ dɔ́n ko anw bɛ yàn,,,,,u b' a dɔn ko an bɛ yan,u b'a dɔn ko an bɛ yan,,,
208,ccomp_dire,il dit qu'il mange,a ko a bɛ dún,,,,,a ko ale bɛ dumuni kɛ,a b'a fɔ ko a bɛ dumuni kɛ,,,
209,ccomp_dire_qualitative,ils disent que la route est longue,ùw ko sìra ka télé,,,,,u ko sira ka jan,u b'a fɔ ko sira ka jan,,,
210,ccomp_dire_passe,elle a dit que Musa est parti,a yé fɔ ko Musa fáɲira,,,,,a ko Musa taara,a y'a fɔ ko Musa taara,,,
211,modal_pouvoir,nous pouvons partir,anw bɛ se ka táa,,,,,an bɛ se ka bɔ yen,an bɛ se ka taa,,,
212,modal_pouvoir_neg,il ne peut pas manger,a tɛ se ka dún,,,,,a tɛ se ka dumuni kɛ,a tɛ se ka dumuni kɛ,,,
213,modal_pouvoir,elle peut venir,a bɛ se ka nà,,,,,a bɛ se ka na,a bɛ se ka na,,,
214,modal_pouvoir_neg,tu ne peux pas partir,i tɛ se ka táa,,,,,i tɛ se ka bɔ yen,i tɛ se ka taa,,,
215,past_intransitive_neg,ils ne sont pas arrivés,ùw ma se,,,,,u ma se yen,u ma na,,,
216,past_intransitive_neg,il n'est pas tombé,a ma bɛn,,,,,a ma bin,a ma bin,,,
217,past_intransitive_neg,elle n'est pas venue,a ma nà,,,,,a ma na,a ma na,,,
218,habitude_neg,elle ne mangeait pas,a tùn tɛ dún,,,,,a tun tɛ dumuni kɛ,a tun tɛ dumuni kɛ,,,
219,habitude_neg_plur,nous ne parlions pas bambara,anw tùn tɛ bambara kúma,,,,,an tun tɛ bamanankan fɔ,an tun tɛ bambara fɔ,,,
220,passe_anterieur_neg,il n'avait pas mangé,a tùn ma dún,,,,,a tun ma dumuni kɛ,a ma dumuni kɛ,,,
221,rule1_conditional_question,"Si j'ai du courage, saurait-on ?","n bɛ gara dun, a mán se dun ?",,,,,"Ni jagɛlɛya bɛ ne la, yala an bɛna o dɔn wa?","Ni ne ja gɛlɛyara, yala an na a dɔn wa?",,,
222,rule2_prohibitive_object,Ne mange pas le riz,kàna iri dún,,,,,Aw kana tiga dun,I kana arisi dun,,,
223,rule3_temporal_avoir_possessive,quand il eut ton appel,tuma min a yé i ka wéle ɲóro,,,,,tuma min na a y' i ka weleli sɔrɔ,a ye i wele tuma min na,,,
224,rule4_temporal_passive,Quand cela fut fait,tuma min o tùn yògorolen dòn,,,,,O kɛra tuma min na,O kɛra tuma min na,,,
225,rule5_fixed_phrase,Ainsi donc,ola sa,,,,,"O la sa, o tuma na",O de y'a to,,,
226,rule6_restrictive,tu ne serais qu'un pleutre,i tɛ foyi yé ni sègɛ tɛ,,,,,i tun na kɛ siranbagatɔ dɔrɔn de ye,i bɛ kɛ dingɛ ye,,,
227,rule7_quest_ce_que,Qu'est-ce qu'il pourrait t'arriver là-bas ?,mún bɛ ka sé i ma yèn jùkɔ́rɔw,,,,,Mun bɛ se ka kɛ i la yen?,Mun bɛ se ka kɛ i la yen?,,,
228,rule7_quest_ce_que_real_subject,Qu'est-ce qu'il peut faire ?,A bɛ se ka mun kɛ ?,,,,,A bɛ se ka mun kɛ?,A bɛ se ka mun kɛ?,,,
229,rule8_relative_splitting,Toi qui prends l'ennemi vivant,i bɛ júgu ɲɛ́nama,,,,,Aw min bɛ jugu minɛ ni ɲɛnama ye,E min bɛ i jugu ɲɛnama minɛ,,,
230,rule9_valoir_peine_sov,cela vaut la peine de prendre un fusil,o bɛ buntu cɛ wà ka sàn,,,,,a ka kan ka marifa ta,a ka fisa ka marifa ta,,,
231,rule6_restrictive_adj,tu ne serais que jaloux,i tɛ foyi yé ni jiliya tɛ,,,,,i tun bɛna keleya dɔrɔn de kɛ,i bɛ ɲagoya dɔrɔn de kɛ,,,
232,refl_actif_passe,il s'est lavé,a yé a jó,,,,,a ye a ko,a ye a yɛrɛ ko,,,
233,refl_actif_present,elle se lave,a bɛ a jó,,,,,a bɛ ko,a bɛ a yɛrɛ ko,,,
234,refl_actif_emphase,il s'est lavé lui même,a yé a yɛrɛ jó,,,,,a y'a yɛrɛ ko,a y'a yɛrɛ ko,,,
235,refl_accidentel_passe,il s'est blessé,a yé a yɛrɛ màjógin,,,,,a jogin na,a ye a yɛrɛ jogin,,,
236,refl_posture_passe,il s'est assis,a yé a sìgi,,,,,a y'i sigi,a y'i sigi,,,
237,refl_idiom_locatif,il s'est mis à pleurer,a yé a yɛrɛ bìla kàsi la,,,,,a y' a daminɛ ka kasi,a y'a daminɛ ka kasi,,,
238,simple_iobj_present,Il me parle,a bɛ kúma n yé,,,,,A bɛ kuma ne fɛ,A bɛ kuma ne fɛ,,,
239,verb_serial_dative_me,elle me donne un livre,a bɛ kìtabu di n ma,,,,,a bɛ gafe dɔ di n ma,a bɛ kitabu dɔ di ne ma,,,
240,content_question_modal_xcomp,Qu'est-ce qu'il pourrait faire ?,a bɛ se ka mún kɛ ?,,,,,A tun bɛ se ka mun kɛ?,A bɛ se ka mun kɛ?,,,
241,future_have_material,Tu auras une voiture,móbili bɛ na i bóló,,,,,I bɛna kɛ ni mobili ye,I na mobili sɔrɔ,,,
242,future_have_material,Elle aura de l'argent,wárí bɛ na a bóló,,,,,Wari bɛna kɛ a bolo,A na wari sɔrɔ,,,
243,future_have_abstract,J'aurai un frère,bálimakɛ bɛ na n fɛ,,,,,Balimakɛ dɔ bɛna ne sɔrɔ,Ne bɛna balimakɛ dɔ sɔrɔ,,,
244,future_have_abstract,Il aura du succès,[succès] bɛ na a fɛ,,,,,A bɛna ɲɛ sɔrɔ,A bɛ se ka ɲɛtaga kɛ,,,
245,future_have_abstract_plur,Nous aurons des enfants,dénw bɛ na anw fɛ,,,,,An bɛna denw sɔrɔ,An bɛna denw sɔrɔ,,,
246,future_have_material_neg,ils n'auront pas de voiture,móbili tɛ na ùw bóló,,,,,u tɛna kɛ ni mobili ye,mobili tɛ u fɛ,,,
247,past_transitive_avoir_eu,j'ai eu un mari,n yé cɛ sɔrɔ,,,,,Cɛ tun bɛ ne fɛ,ne ye cɛ sɔrɔ,,,
248,past_transitive_avoir_eu_plur,elle a eu des enfants,a yé dénw sɔrɔ,,,,,a ye denw sɔrɔ,a ye denw sɔrɔ,,,
249,past_transitive_avoir_eu,tu as eu de la chance,i yé diyaɲɔgɔnya sɔrɔ,,,,,i ye hɛrɛ sɔrɔ,i ye ɲanamaya sɔrɔ,,,
250,past_transitive_avoir_eu,il a eu un problème,a yé [problème] sɔrɔ,,,,,gɛlɛya dɔ tun b' a la,gɛlɛya dɔ tun b'a la,,,
251,past_transitive_avoir_eu_plur,nous avons eu des difficultés,anw yé [difficulté]w sɔrɔ,,,,,gɛlɛyaw tun b' an bolo,an ye gɛlɛya caman sɔrɔ,,,
252,past_have_material,j'avais une voiture,móbili tùn bɛ n bóló,,,,,Mobili tun bɛ n bolo,mobili tun bɛ ne fɛ,,,
253,past_have_material,il avait de l'argent,wárí tùn bɛ a bóló,,,,,wari tun b' a bolo,wari tun bɛ a bolo,,,
254,past_have_abstract_neg,elle n'avait pas de frère,bálimakɛ tùn tɛ a fɛ,,,,,Balimakɛ si tun t'a fɛ,a tun tɛ kɔrɔcɛ ye,,,
255,past_have_material_plur,nous avions un champ,foro tùn bɛ anw bóló,,,,,foro dɔ tun b' an bolo,foro dɔ tun bɛ an fɛ,,,
256,past_have_abstract,tu avais de la chance,diyaɲɔgɔnya tùn bɛ i fɛ,,,,,i ye hɛrɛ sɔrɔ,i ye ɲènamaya kè,,,
257,optatif_plur,Que Dieu vous bénisse,Ala ka aw dɛmɛ,,,,,Ala ka barika don i la,Ala ka aw duga,,,
258,optatif,Qu'il vienne,a ka nà,,,,,A ka na,A ka na,,,
259,optatif_plur,Qu'ils partent,ùw ka táa,,,,,U ka taa,A' ye u bila ka taa.,,,
260,optatif_abs,Que la paix règne,lafiɲa ka kɛ,,,,,Hɛrɛ ka kɛ masakɛ ye,Hɛrɛ ka kɛ yen,,,
261,optatif,Que tu réussisses,i ka dɔngɛ,,,,,Ko i ka ɲɛtaa sɔrɔ,Ne b'a fɛ i ka se ka ko ɲuman kɛ,,,
262,optatif_plur,Que nous mangions ensemble,anw ka dún ɲɔgɔn fɛ,,,,,Ko an bɛ dumuni kɛ ɲɔgɔn fɛ,An ka dumuni kɛ ɲɔgɔn fɛ,,,
263,conj_verb_present,il mange et boit,a bɛ dún wa a bɛ mìn,,,,,a bɛ dumuni kɛ ka minni kɛ,a bɛ dumuni kɛ ka minni kɛ,,,
264,conj_verb_present,elle chante et danse,a bɛ donkili dón wa a bɛ [danser],,,,,a bɛ dɔnkili da ani ka dɔn kɛ,a bɛ dɔnkilila ka dɔnkilila,,,
265,conj_verb_passe,il est venu et a mangé,a nàra wa a yé dún,,,,,a nana dumuni kɛ,a nana dumuni kɛ,,,
266,modal_pouvoir,tu peux manger,i bɛ se ka dún,,,,,aw bɛ se ka dumuni kɛ,i bɛ se ka dumuni kɛ,,,
267,modal_pouvoir_neg,nous ne pouvons pas venir,anw tɛ se ka nà,,,,,an tɛ se ka na,an tɛ se ka na,,,
268,modal_pouvoir_plur,elles peuvent travailler,ùw bɛ se ka báara kɛ,,,,,u bɛ se ka baara kɛ,u bɛ se ka baara kɛ,,,
269,modal_pouvoir_past,il pouvait partir,a tùn bɛ se ka táa,,,,,a tun bɛ se ka taa,a bɛ se ka taa,,,
270,modal_pouvoir_interrogative,peut-elle partir ?,a bɛ se ka táa wà ?,,,,,a bɛ se ka taa wa?,A bɛ se ka taa wa?,,,
271,modal_pouvoir_past_neg,il ne pouvait pas manger,a tùn tɛ se ka dún,,,,,a tun tɛ se ka dumuni kɛ,a tun tɛ se ka dumuni kɛ,,,
272,verb_serial_dative,il me donne de l'argent,a bɛ wárí di n ma,,,,,a bɛ wari di n ma,a bɛ wari di ne ma,,,
273,simple_iobj,elle lui parle,a bɛ kúma a yé,,,,,a bɛ kuma a fɛ,a bɛ kuma a fɛ,,,
274,verb_serial_dative_plur,nous leur donnons du riz,anw bɛ màlo di ùw ma,,,,,an bɛ tiga di u ma,an bɛ pɔri di u ma,,,
275,verb_serial_dative,je te donne un livre,n bɛ kìtabu di i ma,,,,,N bɛ gafe dɔ di aw ma,ne bɛ kitabu dɔ di i ma,,,
276,simple_iobj_plur,il nous parle,a bɛ kúma anw yé,,,,,a bɛ kuma an fɛ,a bɛ kuma an fɛ,,,
277,refl_posture_present,il se lève,a bɛ a tín,,,,,a bɛ wuli,a bɛ wuli,,,
278,refl_posture_passe,il s'est levé,a yé a tín,,,,,a wulila,a wulila,,,
279,refl_accidentel_passe,elle s'est trompée,a yé a yɛrɛ tɔn,,,,,a tun filila,a filila,,,
280,refl_idiom_locatif,il s'est mis à travailler,a yé a yɛrɛ bìla báara la,,,,,a ye baara daminɛ,a y'a daminɛ ka baara kɛ,,,
281,refl_actif_present,elle se regarde,a bɛ a yɛrɛ lajé,,,,,a b'a yɛrɛ lajɛ,a bɛ a yɛrɛ filɛ,,,
282,refl_actif_present_plur,nous nous préparons,anw bɛ anw yɛrɛ labɛn,,,,,an bɛ ka an labɛn,an bɛ an yɛrɛ labɛn,,,
283,refl_posture_present,elle se réveille,a bɛ a wuli,,,,,a bɛ kunun,a bɛ wuli,,,
284,imperative_locative,viens ici !,nà yàn,,,,,na yan!,"Na yan, na yan!",,,
285,prohibitive_dem,ne fais pas ça !,kàna o kɛ,,,,,kana o kɛ !,I kana o kɛ!,,,
286,imperative_iobj,aide-moi !,n dɛmɛ,,,,,n dɛmɛ!,Aw bɛ ne dɛmɛ!,,,
287,prohibitive,ne pleure pas !,kàna kàsi,,,,,kana kasi !,I kana kasi!,,,
288,imperative_adv,mange vite !,dún joona,,,,,dumuni kɛ joona!,Aw bɛ dumuni kɛ joona!,,,
289,prohibitive_object,ne bois pas l'eau !,kàna jí mìn,,,,,Aw kana ji min!,I kana ji min!,,,
290,prohibitive_object,ne mange pas la viande !,kàna sògo dún,,,,,Aw kana sogo dun!,Aw kana sogo dun!,,,
291,interrogative_est_ce_que,Est-ce qu'il mange ?,Yala a bɛ dún wà ?,,,,,Yala a bɛ dumuni kɛ wa?,A bɛ dumuni kɛ wa?,,,
292,interrogative_est_ce_que,Est-ce qu'elle travaille ?,Yala a bɛ báara la wà ?,,,,,Yala a bɛ baara kɛ wa?,A bɛ baara kɛ wa?,,,
293,interrogative_passe,a-t-il mangé ?,a yé dún wà ?,,,,,a ye dumuni kɛ wa?,a ye dumuni kɛ wa?,,,
294,interrogative,Travailles-tu ?,i bɛ báara la wà ?,,,,,Yala i bɛ baara kɛ wa?,I bɛ baara kɛ wa?,,,
295,interrogative_past_intrans,est-il venu ?,a nàra wà ?,,,,,a nana wa?,Yala a nana wa?,,,
296,interrogative_est_ce_que_passe,Est-ce qu'ils sont arrivés ?,Yala ùw sera wà ?,,,,,Yala u sera yen wa?,Yala u sera wa?,,,
297,content_question_who_equative,Qui est-il ?,a yé jɔn yé ?,,,,,Ale ye jɔn ye?,Jɔn ye nin cɛ ye?,,,
298,content_question_what,Qu'est-ce que tu fais ?,i bɛ mún kɛ ?,,,,,I be ka mun kɛ ?,I bɛ mun kɛ?,,,
299,content_question_when_passe,Quand est-il parti ?,a fáɲira túma jùmɛn ?,,,,,A taara tuma jumɛn?,A taara waati jumɛn?,,,
300,content_question_why_neg,Pourquoi ne viens-tu pas ?,i tɛ nà mún kósɔn ?,,,,,Mun na i tɛ na?,Mun y'a to i tɛ na?,,,
301,content_question_how_much,Combien coûte ce livre ?,wárí jóli bɛ nin kìtabu la ?,,,,,Nin gafe in musaka ye joli ye?,Nin gafe in sɔngɔ ye mun ye?,,,
302,content_question_who_passe,Qui a mangé ?,jɔn yé dún ?,,,,,Jɔn ye dumuni kɛ?,Jɔn ye dumuni kɛ?,,,
303,relative_subject,La femme qui mange,númanfɛlaka mìn bɛ dún,,,,,Muso min bɛ dumuni kɛ,Muso min bɛ dumuni kɛ,,,
304,relative_object,Le livre que j'ai acheté,kìtabu mìn n yé sàn,,,,,Ne ye gafe min san,Ne ye gafe min san,,,
305,relative_subject_past,L'homme qui est parti,mɔ̀gɔ mìn fáɲira,,,,,Cɛ min bɔra yen,Cɛ min taara,,,
306,relative_subject_present,L'enfant qui pleure,dén mìn bɛ kàsi,,,,,Den kasitɔ,Denmisɛn min bɛ kasi,,,
307,relative_object_past,La maison que nous avons construite,so mìn anw yé lá,,,,,An ye so min jɔ,"An ye so min jɔ,",,,
308,ccomp_interrogative_passe,tu sais qu'il est parti ?,i bɛ dɔ́n ko a fáɲira wà ?,,,,,aw b' a dɔn ko a taara wa ?,I y'a dɔn ko a taara?,,,
309,ccomp_dire_futur,elle dit qu'elle partira,a ko a bɛ na táa,,,,,a ko ale bɛ taa,a y'a fɔ ko a bɛ taa,,,
310,ccomp_locatif,nous savons qu'il est là,anw bɛ dɔ́n ko a bɛ yèn,,,,,an b' a dɔn ko a bɛ yen,an y'a dɔn ko a bɛ yan,,,
311,ccomp_dire_neg,il dit qu'il ne mange pas,a ko a tɛ dún,,,,,a ko ale tɛ dumuni kɛ,a b'a fɔ ko a tɛ dumuni kɛ,,,
312,ccomp_locatif,je sais que tu es là,n bɛ dɔ́n ko i bɛ yèn,,,,,N b'a dɔn ko i bɛ yen,ne y'a dɔn ko i bɛ yan,,,
313,ccomp_dire_passe_ccomp,ils disent qu'il est venu,ùw ko a nàra,,,,,u ko a nana,u b'a fɔ ko a nana,,,
314,ccomp_dire_passe_root,il a dit qu'il mangeait,a yé fɔ ko a bɛ dún,,,,,a ko ale bɛ dumuni kɛ,a y'a fɔ ko a bɛ dumuni kɛ,,,
315,ccomp_dire_passe_root_plur,ils ont dit qu'il était parti,ùw yé fɔ ko a fáɲira,,,,,u ko a bɔra yen,u y'a fɔ ko a taara,,,
316,venir_de_noun_plur,Ils viennent du marché,u bɛ bɔ súgu la,,,,,U bɛ Bɔ sugu la,U bɛ bɔ sugu la,,,
317,venir_de_noun,Elle vient de la mosquée,a bɛ bɔ sìlamɛdiinɛ la,,,,,A bɛ Bɔ misiri la,O nana ka bɔ masajida la.,,,
318,venir_de_propn_plur,Nous venons de Bamako,anw bɛ bɔ Bamako,,,,,An bɛ bɔ Bamakɔ,An bɛ bɔ Bamako,,,
319,venir_de_verbe,Elle vient de travailler,a bɔra ka báara kɛ,,,,,A tun bɛ baara kɛ dɔrɔn,A bɔra baara la sisan,,,
320,venir_de_interrogative,tu viens d'où ?,i bɛ bɔ mín ?,,,,,i bɛ bɔ min ?,I bɛ bɔ min?,,,
321,comitative_plur_noun,il est venu avec ses enfants,a nàra ni a dénw yé,,,,,a nana n'a denw ye,a nana ni a denw ye,,,
322,comitative_action,je mange avec ma famille,n bɛ dún ni n dakɔrɔbaw yé,,,,,N bɛ dumuni kɛ ni n ka denbaya ye,ne bɛ dumuni kɛ ni n ka denbaya ye,,,
323,comitative_passe,il est parti avec ses amis,a fáɲira ni a terilaw yé,,,,,a taara n'a teriw ye,a taara ni a teriw ye,,,
324,comitative_travail,elle travaille avec son mari,a bɛ báara ni a cɛ yé,,,,,a ni a cɛ bɛ baara kɛ ɲɔgɔn fɛ,a bɛ baara kɛ ni a cɛ ye,,,
325,rule2_prohibitive_object,Ne bois pas le lait,kàna nɔnɔ mìn,,,,,Aw kana nɔnɔ min,I kana nɔnɔ min,,,
326,rule2_prohibitive_dem,Ne prends pas ça,kàna o ta,,,,,Aw kana nin ta,I kana o ta,,,
327,rule6_restrictive,tu n'es qu'un enfant,i tɛ foyi yé ni dén tɛ,,,,,i ye denmisɛn dɔrɔn de ye,i ye denmisɛn ye,,,
328,rule6_restrictive,il n'est qu'un lâche,a tɛ foyi yé ni sègɛ tɛ,,,,,a ye siranbagatɔ dɔrɔn de ye,a ye bagabaga de ye,,,
329,rule6_restrictive_adj,elle n'est que belle,a tɛ foyi yé ni ɲuman tɛ,,,,,a cɛ ka ɲi dɔrɔn,a cɛ ka ɲi,,,
330,content_question_past,Qu'est-ce qu'il a fait ?,a yé mún kɛ ?,,,,,A ye mun kɛ?,A ye mun kɛ?,,,
331,rule7_quest_ce_que_plur,Qu'est-ce que vous voulez ?,mún aw bɛ ŋàniya ?,,,,,E bɛ mun fɛ?,I bɛ mun de fɛ?,,,
332,rule8_relative_topic,L'homme que tu vois est mon ami,"i bɛ cɛ mìn yé, o yé n terikɛ yé",,,,,"I bɛ cɛ min ye, o ye ne teri ye","I ɲɛ bɛ cɛ min na, o ye ne teri ye.",,,
333,rule9_valoir_peine_neg,cela ne vaut pas la peine,o tɛ buntu cɛ wà,,,,,a nafa tɛ a la,o tɛ foyi ɲɛ,,,
334,experiencer_faim,J'ai faim,kɔngɔ bɛ n la,,,,,Kɔngɔ bɛ ne la,Kɔngɔ bɛ ne la.,,,
335,experiencer_soif,J'ai soif,jáabi bɛ n la,,,,,Minnɔgɔ bɛ ne la,Minnɔgɔ bɛ ne la.,,,
336,experiencer_peur,il a peur,siran bɛ a la,,,,,a bɛ siran,a bɛ siran,,,
337,experiencer_honte,elle a honte,maloya bɛ a la,,,,,a bɛ maloya,a bɛ maloya,,,
338,experiencer_sommeil,j'ai sommeil,sùn bɛ n la,,,,,N bɛ sunɔgɔ la,ne bɛ sunɔgɔ la,,,
339,experiencer_froid,nous avons froid,sɛgi bɛ an la,,,,,an bɛ nɛnɛ,an bɛ nɛnɛma,,,
340,experiencer_chaud,tu as chaud,teliman bɛ i la,,,,,aw bɛ funteni sɔrɔ,i degunnen bɛ,,,
341,experiencer_faim_neg,je n'ai pas faim,kɔngɔ tɛ n la,,,,,Kɔngɔ tɛ ne la,kɔngɔ tɛ ne la,,,
342,experiencer_peur_neg,il n'a pas peur,siran tɛ a la,,,,,a tɛ siran,a tɛ siran,,,
343,experiencer_pain_tete,j'ai mal à la tête,n horon bɛ n dimi,,,,,Kungolodimi bɛ n na,n kunkolo bɛ n na,,,
344,experiencer_pain_ventre,elle a mal au ventre,a kɔnɔ bɛ a dimi,,,,,kɔnɔdimi bɛ a la,a kɔnɔboli bɛ a la,,,
345,experiencer_pain_pied,il a mal aux pieds,a sew bɛ a dimi,,,,,a senw tun bɛ dimi,a sen bɛ dimi,,,
346,freq_tous_les_jours,tous les jours,dón bɛɛ,,,,,don o don,don o don,,,
347,freq_chaque_jour,chaque jour,dón bɛɛ,,,,,don o don,don o don,,,
348,freq_chaque_mois,chaque mois,kalo kelen kelen,,,,,kalo o kalo,kalo o kalo,,,
349,freq_chaque_semaine,chaque semaine,dɔgɔkun kelen kelen,,,,,dɔgɔkun o dɔgɔkun,dɔgɔkun o dɔgɔkun,,,
350,freq_chaque_annee,chaque année,san kelen kelen,,,,,san o san,san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san san,,,
351,freq_tous_les_matins,tous les matins,sɔgɔma bɛɛ,,,,,sɔgɔma o sɔgɔma,sɔgɔma o sɔgɔma,,,
352,freq_tous_les_soirs,tous les soirs,wùlafɛ bɛɛ,,,,,wulada o wulada,su o su,,,
353,freq_vient_tous_les_jours,il vient tous les jours,a bɛ nà dón bɛɛ,,,,,a bɛ na don o don,a bɛ na don o don,,,
354,freq_mange_chaque_matin,elle mange chaque matin,a bɛ dún sɔgɔma bɛɛ,,,,,a bɛ dumuni kɛ sɔgɔma o sɔgɔma,a bɛ dumuni kɛ sɔgɔma o sɔgɔma,,,
355,freq_travaille_chaque_semaine,nous travaillons chaque semaine,an bɛ báara kɛ dɔgɔkun kelen kelen,,,,,an bɛ baara kɛ dɔgɔkun o dɔgɔkun,an bɛ baara kɛ dɔgɔkun o dɔgɔkun,,,
356,impersonnel_meteo,il pleut,fùrufuru bɛ na,,,,,sanji bɛ na,sanji bɛ na,,,
357,impersonnel_meteo,il neige,nínaban bɛ na,,,,,a bɛ ka nɛnɛ,sanji bɛ bin,,,
358,impersonnel_meteo,il fait chaud,a bɛ híjira la,,,,,a ka suma,funteni bɛ a la,,,
359,impersonnel_meteo,il fait froid,a bɛ bùnaki la,,,,,nɛnɛ b'a la,funteni bɛ na,,,
360,impersonnel_meteo,il fait nuit,súfɛla bɛ,,,,,su don,su bɛ bin,,,
361,impersonnel_falloir,il faut manger,a ka kan ka dún,,,,,aw ka kan ka dumuni kɛ,an ka kan ka dumuni kɛ,,,
362,impersonnel_falloir,il faut partir,a ka kan ka táa,,,,,an ka kan ka bɔ yen,an ka kan ka taa,,,
363,impersonnel_falloir_neg,il ne faut pas manger,a man kan ka dún,,,,,aw man kan ka dumuni kɛ,an man kan ka dumuni kɛ,,,
364,impersonnel_falloir_neg,il ne faut pas partir,a man kan ka táa,,,,,aw man kan ka bɔ yen,an man kan ka taa,,,
365,impersonnel_devoir,il doit partir,a ka kan ka táa,,,,,a ka kan ka taa,a ka kan ka taa,,,
